,player,pos,nation,born
611,Nathan Young-Coombes,MF,ENG,2003
612,Pontus Jansson,DF,SWE,1991
613,Rico Henry,DF,ENG,1997
614,Saman Ghoddos,"MF,DF",IRN,1993
615,Sergi Canós,"DF,FW",ESP,1997
616,Shandon Baptiste,MF,GRN,1998
617,Tariqe Fosu,DF,GHA,1995
618,Vitaly Janelt,MF,GER,1998
619,Yoane Wissa,FW,COD,1996
620,Álvaro Fernández,GK,ESP,1998
621,Aaron Connolly,"FW,MF",IRL,2000
622,Adam Lallana,MF,ENG,1988
626,Danny Welbeck,"FW,MF",ENG,1990
627,Enock Mwepu,MF,ZAM,1998
628,Evan Ferguson,MF,IRL,2004
629,Jakub Moder,MF,POL,1999
630,Jason Steele,GK,ENG,1990
631,Jeremy Sarmiento,"FW,MF",ECU,2002
633,Jürgen Locadia,"MF,FW",CUW,1993
634,Leandro Trossard,"FW,MF",BEL,1994
636,Marc Cucurella,DF,ESP,1998
637,Moisés Caicedo,MF,ECU,2001
638,Neal Maupay,FW,FRA,1996
641,Shane Duffy,DF,IRL,1992
642,Solly March,"DF,FW",ENG,1994
644,Tariq Lamptey,"DF,FW",GHA,2000
645,Taylor Richards,MF,ENG,2000
647,Aaron Lennon,"MF,FW",ENG,1987
653,Connor Roberts,DF,WAL,1995
656,Erik Pieters,DF,NED,1988
665,Maxwel Cornet,"FW,MF",CIV,1996
666,Nathan Collins,DF,IRL,2001
668,Wayne Hennessey,GK,WAL,1987
669,Wout Weghorst,FW,NED,1992
673,Callum Hudson-Odoi,"MF,FW",ENG,2000
674,Christian Pulisic,"MF,FW",USA,1998
680,Kai Havertz,"FW,MF",GER,1999
681,Kenedy,DF,BRA,1996
683,Malang Sarr,DF,FRA,1999
689,Romelu Lukaku,FW,BEL,1993
690,Ross Barkley,"MF,FW",ENG,1993
691,Ruben Loftus-Cheek,"MF,DF",ENG,1996
692,Saúl Ñíguez,"DF,MF",ESP,1994
695,Trevoh Chalobah,DF,ENG,1999
696,Cheikhou Kouyaté,MF,SEN,1989
699,Eberechi Eze,"MF,FW",ENG,1998
705,Jeffrey Schlupp,"MF,FW",GHA,1992
706,Jesurun Rak Sakyi,"FW,MF",ENG,2002
709,Jordan Ayew,FW,GHA,1991
711,Marc Guéhi,DF,ENG,2000
712,Michael Olise,"FW,MF",FRA,2001
713,Nathan Ferguson,DF,ENG,2000
715,Odsonne Édouard,FW,FRA,1998
719,Will Hughes,MF,ENG,1995
721,Alex Iwobi,"MF,DF",NGA,1996
725,Anthony Gordon,"MF,FW",ENG,2001
727,Asmir Begović,GK,BIH,1987
729,Cenk Tosun,MF,TUR,1991
730,Dele Alli,"MF,FW",ENG,1996
731,Demarai Gray,"MF,FW",JAM,1996
733,Donny van de Beek,MF,NED,1997
734,Ellis Simms,FW,ENG,2001
735,Fabian Delph,MF,ENG,1989
736,Isaac Price,MF,NIR,2003
737,Jarrad Branthwaite,DF,ENG,2002
741,Lewis Dobbin,"FW,MF",ENG,2003
745,Moise Kean,FW,ITA,2000
